ENTRY	GENES	NAME
EC 2.7.1.167	[u'hldE']	[u'HldE']
EC 2.7.1.17	[u'xylB']	[u'XylB']
EC 2.7.1.170	[u'anmK']	[u'AnmK']
EC 2.7.1.19	[u'prkB']	[u'KppR']
EC 2.7.1.2	[u'glk']	[u'Glk']
EC 2.7.1.21	[u'tdk']	[u'KitH']
EC 2.7.1.23	[u'nadK']	[u'NadK']
EC 2.7.1.24	[u'coaE']	[u'CoaE']
EC 2.7.1.25	[u'cysC']	[u'CysC']
EC 2.7.1.26	[u'ribF']	[u'RibF']
EC 2.7.1.30	[u'glpK']	[u'GlpK']
EC 2.7.1.31	[u'glxK', u'garK']	[u'GlxK2', u'GlxK1']
EC 2.7.1.33	[u'coaA']	[u'CoaA']
EC 2.7.1.35	[u'pdxY', u'pdxK']	[u'PdxY', u'PdxK']
EC 2.7.1.39	[u'thrB']	[u'KhsE']
EC 2.7.1.4	[u'mak']	[u'Mak']
EC 2.7.1.40	[u'pykF', u'pykA']	[u'KpyK1', u'KpyK2']
EC 2.7.1.45	[u'kdgK']	[u'KdgK']
EC 2.7.1.48	[u'udk']	[u'Urk']
EC 2.7.1.49	[u'thiD']	[u'ThiD']
EC 2.7.1.5	[u'rhaB']	[u'RhaB']
EC 2.7.1.50	[u'thiM']	[u'ThiM']
EC 2.7.1.51	[u'fucK']	[u'FucK']
EC 2.7.1.53	[u'lyxK']	[u'LyxK']
EC 2.7.1.55	[u'alsK']	[u'AlsK']
EC 2.7.1.56	[u'fruK']	[u'K1pF']
EC 2.7.1.58	[u'dgoK']	[u'DgoK']
EC 2.7.1.59	[u'nagK']	[u'NagK']
EC 2.7.1.6	[u'galK']	[u'Gal1']
EC 2.7.1.60	[u'nanK']	[u'NanK']
